,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
963,202310,IBIRAJUBA,PERNAMBUCO,NORDESTE,51736,488,36988,1478
964,202310,MOCAJUBA,PARÁ,NORTE,429280,11230,313291,32854
965,202310,CAMAÇARI,BAHIA,NORDESTE,6214893,367261,4691944,1159690
966,202310,CAIRU,BAHIA,NORDESTE,351849,40239,254931,81277
967,202310,CURRALINHO,PARÁ,NORTE,240981,3303,162464,8118
968,202310,SÃO JOÃO BATISTA,MARANHÃO,NORDESTE,197729,1881,139878,7697
969,202310,VILA NOVA DO SUL,RIO GRANDE DO SUL,SUL,34018,2194,17486,4818
970,202310,CARIRA,SERGIPE,NORDESTE,203333,7303,151346,20127
971,202310,ALCÂNTARA,MARANHÃO,NORDESTE,236393,2738,167176,11270
972,202310,ARACI,BAHIA,NORDESTE,630623,20771,414787,52256
973,202310,ITAIPAVA DO GRAJAÚ,MARANHÃO,NORDESTE,131823,2475,86049,8615
974,202310,FORMOSA DO OESTE,PARANÁ,SUL,62072,5393,40968,14020
975,202310,LIVRAMENTO DE NOSSA SENHORA,BAHIA,NORDESTE,365591,15118,232856,44434
976,202310,ENCRUZILHADA,BAHIA,NORDESTE,151964,4690,103431,15748
977,202310,CÂNDIDO MENDES,MARANHÃO,NORDESTE,229459,3969,168828,18744
978,202310,JOSELÂNDIA,MARANHÃO,NORDESTE,173673,4446,119322,15317
979,202310,PICADA CAFÉ,RIO GRANDE DO SUL,SUL,38895,4470,23987,13341
980,202310,GAURAMA,RIO GRANDE DO SUL,SUL,31548,2989,16154,6631
981,202310,TIMBIRAS,MARANHÃO,NORDESTE,263685,5047,161099,25775
982,202310,BOM CONSELHO,PERNAMBUCO,NORDESTE,383457,12118,255832,36415
983,202310,JACAREACANGA,PARÁ,NORTE,115409,8116,66676,20172
984,202310,BREJO DA MADRE DE DEUS,PERNAMBUCO,NORDESTE,547109,12180,418699,51243
985,202310,AMARGOSA,BAHIA,NORDESTE,453354,19752,340834,57599
986,202310,QUEIMADAS,BAHIA,NORDESTE,298124,10723,194219,38531
987,202310,IBIPITANGA,BAHIA,NORDESTE,129013,2837,69664,10858
988,202310,VICENTINA,MATO GROSSO DO SUL,CENTRO-OESTE,61054,3181,37578,7962
989,202310,TUCANO,BAHIA,NORDESTE,565868,26194,421407,81553
990,202310,ALTINHO,PERNAMBUCO,NORDESTE,175046,3653,131840,13592
991,202310,CARIDADE DO PIAUÍ,PIAUÍ,NORDESTE,47488,1398,30393,5640
992,202310,PARANAÍBA,MATO GROSSO DO SUL,CENTRO-OESTE,506561,42935,330212,122763
993,202310,IMBAÚ,PARANÁ,SUL,133342,12195,73244,26416
994,202310,COQUEIRO BAIXO,RIO GRANDE DO SUL,SUL,4192,63,2588,250
995,202310,BURITI BRAVO,MARANHÃO,NORDESTE,262989,5467,174615,21955
996,202310,RURÓPOLIS,PARÁ,NORTE,338027,18732,207918,73679
997,202310,SILVEIRA MARTINS,RIO GRANDE DO SUL,SUL,17466,1453,10317,2701
998,202310,FÁTIMA DO SUL,MATO GROSSO DO SUL,CENTRO-OESTE,245167,19812,159506,54650
999,202310,PACAJÁ,PARÁ,NORTE,453944,20616,294302,69458
1000,202310,AFONSO CUNHA,MARANHÃO,NORDESTE,74135,969,47387,4478
